SlotMachineKey,AssetNumber,OnFloor,OffFloor,Status,LocationID,Zone,Bank,Position,Denomination,Par,SerialNumber,CabinetTypeID,DisplayID,ManufacturerID,ContributionTypeID,GameCode,Description,GameID,MultiGame,leased,contribution,MaxCoins,CasinoCode,RecordEffectiveDate,RecordTermDate,ManualUpdate,SourceSystem,LoadDTTM
41441,300719,2017-11-21 00:00:00.000,NULL,A,028606,02,"86        ","06 ",0.05,5.2000,1938122,NULL,7,6,NULL,Multi,GAME KING .05-1 MD,4991686,0,1,NULL,100,HRLV,2017-11-21 00:00:00.000,2017-11-20 00:00:00.000,0,IGT,2018-08-24 05:30:20.433
41992,103805,2018-01-25 00:00:00.000,NULL,A,013001,01,"30        ","01 ",0.01,11.8400,2391759,NULL,7,6,NULL,Participation,600C THE VOICE 5L,1358978256,1,0,NULL,600,HRLV,2018-01-25 00:00:00.000,2018-01-24 00:00:00.000,0,IGT,2018-09-03 05:30:20.497
38867,300720,2017-12-05 00:00:00.000,NULL,A,027403,02,"74        ","03 ",0.05,4.7400,1034219,NULL,7,6,NULL,Multi,GAME KING 05-50 MD,6688137,0,1,NULL,100,HRLV,2017-12-05 00:00:00.000,2017-12-04 00:00:00.000,0,IGT,2018-07-09 05:30:21.377
44105,300728,2017-12-21 00:00:00.000,NULL,A,027805,02,"78        ","05 ",0.05,5.2000,1956748,NULL,7,6,NULL,Multi,GAME KING .05-1 MD,4671637,0,1,NULL,100,HRLV,2017-12-21 00:00:00.000,2017-12-20 00:00:00.000,0,IGT,2018-10-10 05:30:19.950
39091,103828,2018-05-22 00:00:00.000,NULL,A,013208,01,"32        ","08 ",0.01,11.4200,W2237302,NULL,7,200022,NULL,V Reel,250C GIANTS GOLD 01-05 MD,4660440,0,1,NULL,250,HRLV,2018-05-22 00:00:00.000,2018-05-21 00:00:00.000,0,IGT,2018-07-14 05:30:22.143
41744,401553,2018-04-12 00:00:00.000,NULL,A,042802,04,"28        ","02 ",0.25,13.0000,2366894,NULL,4,6,NULL,Participation,WOF TRPL GLD GLD SPIN,1358958438,1,0,NULL,10,HRLV,2018-04-12 00:00:00.000,2018-04-11 00:00:00.000,0,IGT,2018-08-30 05:30:29.880
31085,500602,2015-04-28 00:00:00.000,NULL,R,051405,05,"14        ","05 ",1.0000,7.7100,2064453,36,7,6,NULL,V Reel,CLEO II/TRPL STARS 1-2 MD,1074242426,0,1,NULL,45,HRLV,2015-04-28 00:00:00.000,2015-04-27 00:00:00.000,0,IGT,2017-12-31 05:30:12.290
45260,500651,2018-02-14 00:00:00.000,NULL,A,043103,04,"31        ","03 ",1.00,11.0000,2082425,NULL,4,6,NULL,Participation,WOF 5L PINK DIA,5359498,1,0,NULL,5,HRLV,2018-02-14 00:00:00.000,2018-02-13 00:00:00.000,0,IGT,2018-10-29 05:30:21.410
25139,101797,2010-07-20 00:00:00.000,2015-02-26 00:00:00.000,S,030806,03,"08        ","06 ",0.0100,11.9000,W2142099,46,7,200022,NULL,Participation,225C PYL AUSTRALIAN GOLD,4989334,0,1,NULL,150,HRLV,2010-07-20 00:00:00.000,2015-02-26 00:00:00.000,0,IGT,2017-10-09 06:59:05.607
30545,103776,2017-10-11 00:00:00.000,NULL,A,020601,02,"06        ","01 ",0.0100,12.3600,HXS8004803,15,7,200015,NULL,Participation,250C DUMB & DUMBER 4L,6228218,1,0,NULL,250,HRLV,2017-10-11 00:00:00.000,2017-10-10 00:00:00.000,0,IGT,2017-11-28 05:30:12.043
25858,400344,2004-02-10 00:00:00.000,NULL,I,WHXXXX,WH,"XX        ","XX ",0.2500,12.4500,1112499,52,7,6,NULL,Reel,2M DBL DIA DLX,NULL,0,0,NULL,NULL,HRLV,2004-02-10 00:00:00.000,5999-12-31 00:00:00.000,0,IGT,2017-10-09 06:59:05.607
44111,103794,2017-12-20 00:00:00.000,NULL,A,022602,02,"26        ","02 ",0.01,11.4700,2065684,NULL,7,6,NULL,V Reel,200C BLACK WIDOW 01-05 MD,5365516,0,1,NULL,200,HRLV,2017-12-20 00:00:00.000,2017-12-19 00:00:00.000,0,IGT,2018-10-10 05:30:19.950
40039,401551,2018-03-29 00:00:00.000,NULL,A,010402,01,"04        ","02 ",0.25,5.4400,1900348,NULL,7,6,NULL,Multi,BAR .25 PROG G/K 25-2 MD 8L,4986732,0,1,NULL,100,HRLV,2018-03-29 00:00:00.000,2018-03-28 00:00:00.000,0,IGT,2018-07-31 05:30:23.800
